gene,log2.fold_change.,value_1,value_2,locus,sample_1,sample_2,status,test_stat,p_value,q_value,significant,fpkm5,fpkm10
Pklr,7.37233,0.06671,11.0531,chr3:89136141-89146594,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.87855,5.00E-05,0.000250321,yes,1,1
Ctsk,6.74406,0.338509,36.2857,chr3:95499209-95509387,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.4622,5.00E-05,0.000250321,yes,1,1
Rhd,6.63963,0.133128,13.2738,chr4:134864535-134896172,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.19115,5.00E-05,0.000250321,yes,1,1
Cldn13,6.57759,0.129391,12.3583,chr5:134914249-134915530,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.66837,5.00E-05,0.000250321,yes,1,1
Mt2,6.44248,0.141556,12.3115,chr8:94172617-94173567,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.5485,5.00E-05,0.000250321,yes,1,1
Col14a1,6.178,0.460646,33.3528,chr15:55307749-55520803,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,15.3391,5.00E-05,0.000250321,yes,1,1
Ermap,6.07678,0.213208,14.3911,chr4:119175456-119190011,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.5255,5.00E-05,0.000250321,yes,1,1
Itgad,6.06357,1.237,82.7344,chr7:128173945-128206366,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,15.2424,5.00E-05,0.000250321,yes,1,1
Fcna,6.03499,8.46189,554.855,chr2:25624666-25627974,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,15.7638,5.00E-05,0.000250321,yes,2,1
Timd4,6.01514,0.513927,33.2383,chr11:46810798-46844333,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.5904,5.00E-05,0.000250321,yes,1,1
Vsig4,6.01448,0.166968,10.7937,chrX:96247202-96293438,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.30573,5.00E-05,0.000250321,yes,1,1
Cd5l,5.96488,4.3561,272.085,chr3:87357880-87371074,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,15.7796,5.00E-05,0.000250321,yes,1,1
Slco2b1,5.76727,0.791837,43.1277,chr7:99657803-99711340,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,14.8181,5.00E-05,0.000250321,yes,1,1
Vstm4,5.73311,0.270959,14.4126,chr14:32856755-32939489,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.3011,5.00E-05,0.000250321,yes,1,1
Cd209f,5.70532,1.19388,62.2923,chr8:4102792-4105764,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.5038,5.00E-05,0.000250321,yes,1,1
Paqr9,5.70476,0.323407,16.8676,chr9:95559816-95562121,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.0038,5.00E-05,0.000250321,yes,1,1
Kcnj10,5.58448,0.937154,44.9684,chr1:172341209-172374085,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,14.9066,5.00E-05,0.000250321,yes,1,1
Pdgfc,5.51322,0.275434,12.5795,chr3:81036415-81214031,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.3545,5.00E-05,0.000250321,yes,1,1
Car1,5.48748,3.49144,156.639,chr3:14766213-14808365,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,14.8033,5.00E-05,0.000250321,yes,1,1
C1qa,5.47847,20.9226,932.823,chr4:136895915-136898844,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,15.0216,5.00E-05,0.000250321,yes,2,2
C1qc,5.478,20.2447,902.302,chr4:136889801-136892914,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,14.8383,5.00E-05,0.000250321,yes,2,2
Igf1,5.47366,0.608711,27.0488,chr10:87859055-87937047,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.81302,5.00E-05,0.000250321,yes,1,1
Cd163,5.4324,3.39694,146.691,chr6:124304650-124330527,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,15.2547,5.00E-05,0.000250321,yes,1,1
Cmbl,5.36503,0.513385,21.1581,chr15:31568911-31590119,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.56395,5.00E-05,0.000250321,yes,1,1
Mrap,5.36225,0.357936,14.7233,chr16:90738323-90749776,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.74484,5.00E-05,0.000250321,yes,1,1
Mertk,5.34038,0.849814,34.43,chr2:128698996-128802188,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,13.6025,5.00E-05,0.000250321,yes,1,1
Dmpk,5.28155,0.564883,21.9717,chr7:19083848-19093820,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.2063,5.00E-05,0.000250321,yes,1,1
C1qb,5.24251,21.2845,805.78,chr4:136880144-136886177,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,15.0893,5.00E-05,0.000250321,yes,2,2
Stab2,5.203,0.306957,11.3067,chr10:86841209-87007942,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.845,5.00E-05,0.000250321,yes,1,1
Cd209g,5.17256,0.384952,13.8836,chr8:4134735-4137707,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.587,5.00E-05,0.000250321,yes,1,1
Cd4,4.95736,1.1705,36.3652,chr6:124864692-124888209,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,13.0594,5.00E-05,0.000250321,yes,1,1
Hpgds,4.9202,0.692395,20.9644,chr6:65117292-65144730,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.8965,5.00E-05,0.000250321,yes,1,1
Gfra2,4.89494,0.60348,17.9551,chr14:70890106-70979840,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.7649,5.00E-05,0.000250321,yes,1,1
Ubd,4.85991,0.449288,13.0468,chr17:37193891-37196101,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.7875,5.00E-05,0.000250321,yes,1,1
Gpd1,4.83693,1.17736,33.6487,chr15:99717592-99725007,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.3828,5.00E-05,0.000250321,yes,1,1
Chp2,4.78129,1.82508,50.1872,chr7:122219495-122222539,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.1228,5.00E-05,0.000250321,yes,1,1
Spic,4.7114,2.41507,63.2708,chr10:88675269-88683023,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.1849,5.00E-05,0.000250321,yes,1,1
Scamp5,4.65666,0.477762,12.0505,chr9:57441326-57468060,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.3344,5.00E-05,0.000250321,yes,1,1
Gas6,4.57405,0.479612,11.4239,chr8:13465373-13494535,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.0158,5.00E-05,0.000250321,yes,1,1
Cadm1,4.52422,1.13585,26.1366,chr9:47530351-47853385,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.743,5.00E-05,0.000250321,yes,1,1
Mrc1,4.52244,8.46519,194.548,chr2:14229413-14332023,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.6553,5.00E-05,0.000250321,yes,2,1
Crip2,4.49653,1.18875,26.8339,chr12:113140235-113145506,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.4957,5.00E-05,0.000250321,yes,1,1
Nr1h3,4.42319,1.7791,38.1692,chr2:91184060-91195116,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.6345,5.00E-05,0.000250321,yes,1,1
Abcc3,4.3568,1.65992,34.0107,chr11:94343294-94392976,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.6986,5.00E-05,0.000250321,yes,1,1
Axl,4.28942,18.7491,366.626,chr7:25756499-25788733,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.2201,5.00E-05,0.000250321,yes,2,2
Epb4.1l3,4.27048,0.936439,18.0727,chr17:69156809-69289987,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.1835,5.00E-05,0.000250321,yes,1,1
Slc4a1,4.1869,1.37236,24.9949,chr11:102348819-102365281,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.9788,5.00E-05,0.000250321,yes,1,1
Epor,4.15166,0.335473,11.92504,chr9:21958898-21963576,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.60265,5.00E-05,0.000250321,yes,1,1
Vcam1,4.13771,31.8081,559.904,chr3:116110019-116129688,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.552,5.00E-05,0.000250321,yes,2,2
Pdzk1,4.13754,1.41603,24.9228,chr3:96829825-96870926,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.5943,5.00E-05,0.000250321,yes,1,1
Slc16a9,4.07345,0.599809,10.0982,chr10:70245275-70285951,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.60067,5.00E-05,0.000250321,yes,1,1
Gm13710,4.02268,0.631747,10.2681,chr2:84500747-84506873,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.8942,5.00E-05,0.000250321,yes,1,1
Itga9,4.00837,0.701575,11.2905,chr9:118606708-118901003,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.1942,5.00E-05,0.000250321,yes,1,1
Rims3,4.0041,0.668044,10.7191,chr4:120877868-120891560,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.16707,5.00E-05,0.000250321,yes,1,1
